MAIN_ID,RA,DEC,RA_err,DEC_err,PMRA,PMRA_err,PMDEC,PMDEC_err,N_used,MAG_EXTRAPOL,m_F606W,m_F814W,m_F606W_err,m_F814W_err,BB_Lpmag,BBtemps
39088,6.025602195101008,-72.08189715555555,0.0,0.0,-0.1536,0.01172,0.28012,0.03128,56,0.07099999999999973,13.559,12.716,9.9,9.9,12.390654819847004,7217859.347963073
38488,6.027434972733815,-72.08815223333332,0.0,0.0,0.28424,0.01576,-0.17716,0.0146,13,0.08099999999999064,13.601,12.756,9.9,9.9,12.430654819847005,7217859.347963073
40006,6.020524523512178,-72.08403283333332,0.0,0.0,0.97704,0.01096,-0.65688,0.0122,56,0.6630000000000216,13.575,12.768,9.9,9.9,12.442654819847005,7217859.347963073
36476,6.037948397245673,-72.08468028888888,0.0,0.0,0.90432,0.0254,-0.76712,0.0164,47,0.1239999999999899,13.644,12.799,9.9,9.9,12.473654819847004,7217859.347963073
36938,6.035021208575807,-72.0844896,0.0,0.0,-0.74876,0.00988,-1.16264,0.02024,57,0.4710000000000125,13.623,12.801,9.9,9.9,12.475654819847005,7217859.347963073
66059,6.036570137863357,-72.07687333333332,0.0,0.0,0.14272,0.00764,-0.0362,0.01948,11,0.6830000000000034,13.611,12.803,9.9,9.9,12.477654819847006,7217859.347963073
41007,6.016162312875954,-72.08131391111111,0.0,0.0,-0.817,0.01784,-1.12124,0.04552,17,1.780999999999981,13.541,12.806,9.9,9.9,12.480654819847004,7217859.347963073
65565,6.039355165490589,-72.07936547777777,0.0,0.0,0.12604,0.0176,-0.06348,0.0214,11,2.340000000000021,13.508,12.81,9.9,9.9,12.484654819847005,7217859.347963073
66047,6.036581052852101,-72.07788348888889,0.0,0.0,-0.2896,0.01584,-0.17868,0.02676,11,0.40000000000000924,13.648,12.82,9.9,9.9,12.494654819847005,7217859.347963073
62292,6.054481221336916,-72.07951632222222,0.0,0.0,0.10212,0.02512,-0.654,0.0314,11,0.8170000000000144,13.665,12.862,9.9,9.9,12.536654819847005,7217859.347963073
41244,6.015713463456169,-72.08186484444444,0.0,0.0,-1.26012,0.0282,-0.19592,0.03476,16,3.0029999999999895,13.547,12.888,9.9,9.9,12.562654819847005,7217859.347963073
37555,6.031625118392517,-72.09006649999999,0.0,0.0,1.17672,0.01052,-0.31868,0.0214,11,0.665000000000008,13.705,12.89,9.9,9.9,12.564654819847005,7217859.347963073
34917,6.045313373246352,-72.0813015111111,0.0,0.0,0.10884,0.02376,-0.82908,0.01784,14,0.8070000000000128,13.703,12.897,9.9,9.9,12.571654819847005,7217859.347963073
34538,6.04755119184213,-72.08260518888888,0.0,0.0,-0.32304,0.01236,0.76864,0.01236,14,0.8149999999999853,13.711,12.905,9.9,9.9,12.579654819847004,7217859.347963073
38030,6.029430926907316,-72.08787004444443,0.0,0.0,-0.22208,0.01972,0.22792,0.0188,23,0.277000000000001,13.765,12.922,9.9,9.9,12.596654819847005,7217859.347963073
68170,6.025401533921042,-72.0780992,0.0,0.0,-0.19716,0.02672,0.48436,0.02372,13,2.37099999999999,13.635,12.931,9.9,9.9,12.605654819847004,7217859.347963073
39261,6.024332763553365,-72.08500674444444,0.0,0.0,0.83404,0.01348,0.06804,0.0202,33,2.394999999999982,13.643,12.94,9.9,9.9,12.614654819847004,7217859.347963073
42780,6.007372933877406,-72.08584236666667,0.0,0.0,-0.21976,0.02416,0.4102,0.02944,11,0.8060000000000116,13.75,12.941,9.9,9.9,12.615654819847006,7217859.347963073
40975,6.016057255114911,-72.08330804444444,0.0,0.0,-0.69288,0.0282,-0.71812,0.03488,37,2.510999999999985,13.663,12.966,9.9,9.9,12.640654819847004,7217859.347963073
65561,6.0390993990186965,-72.08002438888889,0.0,0.0,-0.13132,0.03516,0.04852,0.02076,13,3.175999999999993,13.624,12.971,9.9,9.9,12.645654819847005,7217859.347963073
37672,6.031647641786575,-72.08209322222221,0.0,0.0,0.11456,0.01344,-0.06,0.014,64,0.9130000000000233,13.777,12.973,9.9,9.9,12.647654819847006,7217859.347963073
67258,6.030127810572655,-72.07835565555555,0.0,0.0,0.2874,0.0328,0.80672,0.01496,17,0.8780000000000214,13.79,12.983,9.9,9.9,12.657654819847005,7217859.347963073
38041,6.030041287809207,-72.08743411111111,0.0,0.0,-0.69188,0.02832,-0.62732,0.02208,24,2.4620000000000015,13.694,12.992,9.9,9.9,12.666654819847006,7217859.347963073
37652,6.03176658060801,-72.0831235111111,0.0,0.0,0.35864,0.01284,0.08332,0.02012,61,0.718999999999987,13.823,13.004,9.9,9.9,12.678654819847004,7217859.347963073
40468,6.019083680385876,-72.08433517777776,0.0,0.0,-0.20124,0.01148,0.53732,0.01304,54,0.81299999999999,13.821,13.008,9.9,9.9,12.682654819847004,7217859.347963073
35114,6.045008714074591,-72.08309816666666,0.0,0.0,0.53828,0.01884,0.27592,0.01592,12,2.2409999999999997,13.729,13.011,9.9,9.9,12.685654819847004,7217859.347963073
68627,6.022917595856429,-72.07828485555555,0.0,0.0,-0.0622,0.0206,0.07544,0.01216,12,2.3659999999999872,13.726,13.016,9.9,9.9,12.690654819847005,7217859.347963073
64344,6.044924639324881,-72.08085638888888,0.0,0.0,-0.26368,0.02284,-0.26396,0.02328,11,2.861999999999979,13.694,13.017,9.9,9.9,12.691654819847004,7217859.347963073
39527,6.022624148218058,-72.08338582222221,0.0,0.0,0.7108,0.03152,0.90472,0.0308,38,3.1389999999999887,13.683,13.024,9.9,9.9,12.698654819847004,7217859.347963073
38762,6.026962847184692,-72.08702498888888,0.0,0.0,-0.0404,0.03368,0.95204,0.019,29,2.5400000000000027,13.724,13.025,9.9,9.9,12.699654819847005,7217859.347963073
68136,6.02549312869388,-72.08073455555555,0.0,0.0,-1.40964,0.013,0.52024,0.01836,27,2.6979999999999986,13.722,13.033,9.9,9.9,12.707654819847004,7217859.347963073
36537,6.037854608275368,-72.0810860111111,0.0,0.0,-0.38812,0.01916,0.77928,0.01368,41,2.372000000000023,13.748,13.037,9.9,9.9,12.711654819847006,7217859.347963073
36032,6.03999478525201,-72.081841,0.0,0.0,-0.18224,0.0156,-0.04572,0.01644,39,2.4460000000000157,13.758,13.051,9.9,9.9,12.725654819847005,7217859.347963073
37549,6.031720116775135,-72.09042638888889,0.0,0.0,-0.1836,0.03364,-0.24144,0.02232,11,1.1130000000000102,13.849,13.053,9.9,9.9,12.727654819847006,7217859.347963073
41493,6.014534011160446,-72.08252199999998,0.0,0.0,-0.30808,0.04288,-0.4362,0.02444,23,2.944000000000008,13.728,13.054,9.9,9.9,12.728654819847005,7217859.347963073
40947,6.016305391700325,-72.08490165555556,0.0,0.0,-0.87732,0.02988,0.1302,0.02004,33,2.7970000000000113,13.741,13.057,9.9,9.9,12.731654819847005,7217859.347963073
41920,6.0121797107847925,-72.0839271,0.0,0.0,0.54976,0.02372,0.39648,0.03624,15,1.2149999999999856,13.855,13.065,9.9,9.9,12.739654819847004,7217859.347963073
34332,6.049310926276409,-72.08238744444444,0.0,0.0,-0.37048,0.04708,-0.09012,0.01756,10,2.8220000000000116,13.766,13.082,9.9,9.9,12.756654819847006,7217859.347963073
35101,6.045040574312268,-72.08433012222221,0.0,0.0,0.36008,0.0118,-0.22584,0.02044,14,2.8680000000000128,13.764,13.083,9.9,9.9,12.757654819847005,7217859.347963073
