MAIN_ID,RA,DEC,PMRA,PMDEC,MAG_V,MAG_U,MAG_USE
M000872,0 24 7.49016,-72 6 21.1608,-0.95,-0.989,18.317,19.165,18.44
M000979,0 24 6.65424,-72 6 20.5524,-0.227,-0.419,18.649,19.517,18.61
M000984,0 24 7.39836,-72 6 20.5308,0.62,-0.148,19.977,21.816,20.18
M001015,0 24 6.81444,-72 6 20.3724,-0.488,0.284,17.525,18.242,17.65
M001021,0 24 6.5844,-72 6 20.3328,-0.344,-1.3,17.682,18.456,17.78
M001054,0 24 7.53192,-72 6 20.1708,0.775,0.297,18.771,19.789,18.93
M001077,0 24 6.97752,-72 6 20.0124,0.0178,-0.592,19.321,20.737,19.53
M001090,0 24 6.52284,-72 6 19.9368,-0.186,0.287,18.628,19.504,18.77
M001143,0 24 5.94144,-72 6 19.6452,0.193,0.304,17.754,18.491,17.87
M001158,0 24 10.64556,-72 6 19.5696,0.839,-0.0451,18.227,19.018,18.37
M001268,0 24 6.8472,-72 6 19.0152,0.0351,1.16,18.381,19.197,18.52
M001277,0 24 5.38992,-72 6 18.9756,0.217,0.451,18.608,19.447,18.71
M001284,0 24 5.688,-72 6 18.9252,0.562,0.365,19.057,20.158,19.2
M001285,0 24 11.03904,-72 6 18.918,0.244,0.142,18.928,19.974,19.07
M001290,0 24 7.30692,-72 6 18.9072,0.832,0.208,20.187,22.097,20.43
M001292,0 24 10.39284,-72 6 18.8964,-0.124,0.005,18.056,18.807,18.18
M001293,0 24 10.88388,-72 6 18.8928,-0.426,-0.69,17.801,18.527,17.91
M001313,0 24 5.97096,-72 6 18.7776,0.5,0.132,18.382,19.627,18.62
M001325,0 24 6.90084,-72 6 18.7128,2.87,1.53,20.062,21.778,20.19
M001332,0 24 6.55596,-72 6 18.6804,0.438,0.529,17.727,18.527,17.85
M001376,0 24 6.32448,-72 6 18.4392,-0.292,-0.158,18.276,19.116,18.38
M001399,0 24 11.33712,-72 6 18.3168,0.777,-1.42,16.771,18.38,17.04
M001418,0 24 10.08288,-72 6 18.2484,-0.0212,-0.859,19.667,21.203,19.84
M001429,0 24 5.82984,-72 6 18.1908,-0.119,0.0766,17.863,18.646,18.0
M001446,0 24 5.60124,-72 6 18.072,0.68,0.132,16.919,18.547,17.18
M001457,0 24 11.3904,-72 6 18.054,0.981,0.426,19.13,20.184,19.16
M001487,0 24 4.18644,-72 6 17.928,0.521,0.591,19.663,21.357,19.81
M001493,0 24 11.6622,-72 6 17.8884,0.695,0.49,18.188,18.981,18.33
M001496,0 24 10.41696,-72 6 17.8812,-0.193,-0.426,18.493,19.341,18.65
M001501,0 24 11.17692,-72 6 17.8704,-0.0829,-0.397,17.94,18.677,18.04
M001513,0 24 6.17796,-72 6 17.8308,0.312,1.65,20.005,22.013,20.16
M001564,0 24 4.04748,-72 6 17.6112,0.185,0.868,17.626,18.394,17.75
M001575,0 24 11.76444,-72 6 17.5572,-0.961,-0.944,19.859,21.601,19.96
M001578,0 24 4.42584,-72 6 17.5392,-0.167,0.664,16.632,18.229,16.89
M001581,0 24 10.12572,-72 6 17.5248,0.844,-0.156,17.626,18.42,17.73
M001591,0 24 5.22144,-72 6 17.5032,0.392,0.607,18.009,18.779,18.12
M001601,0 24 6.42636,-72 6 17.4708,0.191,0.873,18.519,19.418,18.66
M001608,0 24 3.80556,-72 6 17.4528,-1.05,0.0264,18.344,19.163,18.46
M001610,0 24 3.66588,-72 6 17.4492,-1.27,0.919,18.329,19.175,18.43
M001618,0 24 11.061,-72 6 17.4204,0.0489,0.431,17.671,18.426,17.78
M001622,0 24 5.42304,-72 6 17.406,1.51,0.0606,19.803,21.382,19.99
M001630,0 24 10.62828,-72 6 17.3664,-0.615,-0.587,17.784,18.501,17.92
M001658,0 24 11.817,-72 6 17.2404,0.0518,-0.107,18.211,19.007,18.34
M001659,0 24 11.727,-72 6 17.2404,-1.15,1.74,19.537,21.025,19.65
M001669,0 24 4.02516,-72 6 17.208,0.232,0.917,19.17,20.502,19.4
M001679,0 24 5.88528,-72 6 17.1504,-0.301,-0.251,17.331,18.226,17.5
M001692,0 24 11.35476,-72 6 17.082,-0.628,0.518,18.086,18.878,18.21
M001728,0 24 6.62328,-72 6 16.938,-0.292,0.113,18.162,18.956,18.26
M001746,0 24 6.11928,-72 6 16.8804,-0.185,-0.444,17.496,18.245,17.69
M001764,0 24 11.19888,-72 6 16.8192,-0.324,0.169,17.639,18.426,17.76
M001770,0 24 10.65168,-72 6 16.8048,0.983,0.247,18.608,19.45,18.73
M001772,0 24 6.8994,-72 6 16.7976,-0.502,0.763,17.891,18.633,18.0
M001777,0 24 7.12188,-72 6 16.776,-0.106,-0.684,17.367,18.234,17.51
M001780,0 24 6.49764,-72 6 16.7472,-0.153,0.625,19.402,20.862,19.61
M001784,0 24 4.93128,-72 6 16.7364,-1.04,0.177,19.59,21.311,19.75
M001792,0 24 5.59116,-72 6 16.6968,-0.286,-0.426,17.423,18.254,17.55
M001803,0 24 10.5354,-72 6 16.6572,1.34,-2.12,18.742,19.804,18.94
M001831,0 24 6.40512,-72 6 16.5348,0.184,0.622,18.093,18.889,18.21
M001867,0 24 12.76164,-72 6 16.3548,0.974,0.271,17.907,19.013,18.03
M001873,0 24 2.45052,-72 6 16.326,0.859,0.107,17.691,18.445,17.8
M001874,0 24 3.64824,-72 6 16.326,0.727,0.581,18.415,19.319,18.57
M001880,0 24 11.7792,-72 6 16.308,-0.256,-0.234,19.519,21.275,19.71
M001890,0 24 10.2672,-72 6 16.2612,-0.35,0.851,17.885,18.562,17.95
M001897,0 24 2.56284,-72 6 16.2432,0.553,-0.0278,18.245,19.018,18.38
M001906,0 24 2.98764,-72 6 16.2072,-2.01,0.187,17.276,18.305,17.44
M001914,0 24 6.2442,-72 6 16.1568,0.197,0.415,18.78,19.799,18.87
M001932,0 24 4.84632,-72 6 16.0776,0.746,-1.02,19.79,21.421,19.98
M001934,0 24 2.3184,-72 6 16.074,0.457,-0.0162,19.3,20.619,19.46
M001943,0 24 12.10716,-72 6 16.038,-0.327,0.14,19.016,20.096,19.14
M001963,0 24 6.35832,-72 6 15.9516,-0.478,0.765,19.496,20.892,19.62
M001978,0 24 12.81996,-72 6 15.8724,-0.0588,-0.0757,18.33,19.15,18.48
M001981,0 24 2.73384,-72 6 15.8652,-1.38,0.564,18.691,19.721,18.85
M002001,0 24 3.61584,-72 6 15.7896,-0.0346,0.826,19.214,20.35,19.27
M002002,0 24 10.11672,-72 6 15.7896,0.815,-1.34,19.504,21.04,19.72
M002011,0 24 3.55464,-72 6 15.7608,0.00952,0.014,19.357,20.736,19.5
M002013,0 24 5.3352,-72 6 15.7572,-1.63,-0.463,19.238,20.471,19.35
M002016,0 24 11.14452,-72 6 15.75,0.101,-0.415,17.569,18.303,17.71
M002018,0 24 3.22812,-72 6 15.7392,-0.725,-0.258,17.328,18.189,17.48
