MAIN_ID,oRA,oDE,n_Name,Name,MAG_USE,min,OK,c,RA,DEC,PMRA,PMDEC
25920,-34.8416,-37.5725,,25920,11.04,25.12,1,100.0,5.992151,-72.09172,0.0,0.0
56876,20.2958,-1.1755,,56876,11.92,23.43,1,100.0,6.041949,-72.08161,0.0,0.0
77150,11.5162,20.9173,,77150,12.53,20.84,1,100.0,6.034019,-72.075473,0.0,0.0
54526,-18.7986,-3.6473,,54526,12.54,20.97,1,100.0,6.006651,-72.082297,0.0,0.0
44711,-12.524,-14.2339,,44711,12.61,23.31,1,100.0,6.012315,-72.085237,0.0,0.0
44076,9.6558,-14.9595,,44076,12.69,24.18,1,100.0,6.032344,-72.085439,0.0,0.0
56062,-12.2496,-2.0215,,56062,12.69,20.07,1,100.0,6.012566,-72.081845,0.0,0.0
81821,73.7345,26.5812,,81821,12.72,25.95,1,100.0,6.090169,-72.0739,0.0,0.0
44696,-58.5239,-14.2494,,44696,12.75,25.28,1,100.0,5.970776,-72.085242,0.0,0.0
88171,-9.3219,34.7824,,88171,12.76,23.67,1,100.0,6.015213,-72.071622,0.0,0.0
65911,-9.0099,8.2924,,65911,12.85,19.95,1,100.0,6.015492,-72.07898,0.0,0.0
117269,6.3902,83.1731,,117269,12.86,26.24,1,100.0,6.029386,-72.05818,0.0,0.0
33529,9.7311,-27.4964,,33529,12.87,22.81,1,100.0,6.032415,-72.088921,0.0,0.0
65279,2.5676,7.5966,,65279,12.88,23.11,1,100.0,6.025942,-72.079173,0.0,0.0
113062,-51.2336,74.2452,,113062,12.89,26.02,1,100.0,5.977421,-72.06066,0.0,0.0
59965,-8.0402,2.0442,,59965,12.9,21.04,1,100.0,6.016366,-72.080716,0.0,0.0
60167,12.0023,2.2563,,60167,12.9,23.01,1,100.0,6.034461,-72.080657,0.0,0.0
64403,-5.1854,6.6811,,64403,12.92,22.89,1,99.96,6.018944,-72.079428,0.0,0.0
42193,-8.0122,-17.1761,,42193,12.93,22.8,1,100.0,6.016389,-72.086055,0.0,0.0
42097,9.4105,-17.2653,,42097,12.95,22.62,1,99.96,6.032124,-72.086079,0.0,0.0
91003,11.8994,38.5562,,91003,12.95,23.58,1,100.0,6.034362,-72.070574,0.0,0.0
