MAG_USE,RA,DEC,star_ok,MAIN_ID,PMRA,PMDEC
14.53,6.104136,-72.106772,1,M000481,0.0,0.0
14.68,6.0909765,-72.106121,1,M000749,0.0,0.0
14.72,6.0528555,-72.106093,1,M000760,0.0,0.0
14.63,6.039027,-72.105339,1,M001220,0.0,0.0
14.7,6.026305499999999,-72.104991,1,M001476,0.0,0.0
14.8,6.0430695,-72.104733,1,M001706,0.0,0.0
14.2,6.0437505,-72.104484,1,M001917,0.0,0.0
14.45,6.0804975,-72.104393,1,M001998,0.0,0.0
14.77,6.0438345,-72.10436,1,M002031,0.0,0.0
13.92,6.028404,-72.104289,1,M002088,0.0,0.0
14.92,6.0300225,-72.103985,1,M002367,0.0,0.0
14.73,6.0198585,-72.103909,1,M002435,0.0,0.0
14.83,6.0649619999999995,-72.103724,1,M002617,0.0,0.0
14.72,6.0525735,-72.103635,1,M002710,0.0,0.0
14.7,6.0368640000000005,-72.103575,1,M002778,0.0,0.0
14.21,6.047415,-72.103462,1,M002893,0.0,0.0
14.15,6.0360945,-72.103023,1,M003377,0.0,0.0
14.76,6.0024975,-72.103014,1,M003389,0.0,0.0
14.48,6.0709725,-72.102913,1,M003514,0.0,0.0
14.59,6.0869205,-72.102806,1,M003649,0.0,0.0
14.65,6.0673545,-72.102554,1,M003926,0.0,0.0
14.74,6.062628,-72.102406,1,M004094,0.0,0.0
14.66,6.0680024999999995,-72.102344,1,M004158,0.0,0.0
14.66,6.0056475,-72.102238,1,M004288,0.0,0.0
13.88,6.00921,-72.10218,1,M004356,0.0,0.0
14.53,6.0604485,-72.10203,1,M004521,0.0,0.0
14.19,6.0175410000000005,-72.102025,1,M004529,0.0,0.0
14.04,6.0589425,-72.101859,1,M004741,0.0,0.0
14.12,6.0589200000000005,-72.101835,0,M004773,0.0,0.0
14.54,6.0244215,-72.101822,1,M004797,0.0,0.0
14.77,6.0487755,-72.101771,1,M004856,0.0,0.0
13.78,6.061215000000001,-72.101628,1,M005042,0.0,0.0
14.38,6.0613305,-72.101613,1,M005062,0.0,0.0
14.26,6.029874,-72.101481,1,M005251,0.0,0.0
14.5,6.007776,-72.101461,1,M005276,0.0,0.0
14.83,6.064938,-72.101135,1,M005730,0.0,0.0
14.65,6.04899,-72.101108,1,M005770,0.0,0.0
14.66,5.978154,-72.100998,1,M005941,0.0,0.0
14.77,5.9936505,-72.1007,1,M006402,0.0,0.0
14.68,5.981475,-72.100692,1,M006418,0.0,0.0
14.56,6.0601199999999995,-72.100603,1,M006536,0.0,0.0
14.0,6.005440500000001,-72.100149,1,M007267,0.0,0.0
14.97,6.0960090000000005,-72.100081,1,M007388,0.0,0.0
14.71,6.0173505,-72.100017,1,M007483,0.0,0.0
14.63,5.994784500000001,-72.099958,1,M007584,0.0,0.0
14.64,6.080448,-72.099635,1,M008126,0.0,0.0
13.76,6.0852945,-72.099559,1,M008263,0.0,0.0
14.67,6.0432825,-72.099488,1,M008380,0.0,0.0
14.74,5.994015,-72.099299,1,M008730,0.0,0.0
14.73,5.9782905,-72.099099,1,M009137,0.0,0.0
14.06,6.047451,-72.098728,1,M009877,0.0,0.0
