MAIN_ID,RA,DEC,F606W,F814W,F336W,MAG_USE,[8.6],Jmag,Kmag,Flux,LPV,u_LPV,PMRA,PMDEC

  1,006.03575417,-72.06523056,10.950, 9.037,      ,13.779, 5.595,      ,      , 0.286,V8  , ,0,0
  2,006.03217083,-72.07544167,11.658, 9.401,      ,14.338, 6.333,      ,      , 0.145,LW13,?,0,0
  3,006.01042083,-72.08541111,11.486, 9.347,16.259,14.196, 6.372,      ,      , 0.140,LW10, ,0,0
  4,006.06311667,-72.07680278,11.178, 8.671,      ,13.898, 6.388,      ,      , 0.138,V27 , ,0,0
  5,006.01663333,-72.08614167,11.498, 9.595,16.444,13.688, 6.813,      ,      , 0.093,LW12, ,0,0
  6,006.06023750,-72.08592778,12.193, 9.920,16.314,14.159, 6.844,      ,      , 0.090,V20 , ,0,0
  7,006.03921250,-72.08029167,11.094, 9.625,16.101,13.259, 6.926,      ,      , 0.084,LW14, ,0,0
  8,006.06149167,-72.07903611,11.120, 9.765,14.757,13.475, 7.052,10.953, 9.680, 0.075,V19 , ,0,0
  9,006.04650417,-72.08596389,11.213, 9.663,16.147,13.555, 7.103,      ,      , 0.071,LW15, ,0,0
 10,006.03425417,-72.07556667,11.478, 9.853,16.127,13.501, 7.233,      ,      , 0.063,LW13,?,0,0
 11,005.98718750,-72.09240278,11.253, 9.800,15.808,13.470, 7.320,      ,      , 0.058,LW7 , ,0,0
 12,005.98984583,-72.09153333,11.368, 9.916,16.570,      , 7.437,      ,      , 0.052,LW8 , ,0,0
 13,006.05426667,-72.08134722,11.358, 9.917,15.919,13.418, 7.501,      ,      , 0.049,LW16,?,0,0
 14,006.03235833,-72.08616944,11.320, 9.964,      ,13.305, 7.579,      ,      , 0.046,    , ,0,0
 15,006.02616250,-72.07928333,10.622, 9.316,      ,13.429, 7.677,      ,      , 0.042,    , ,0,0
 16,006.01315417,-72.08076389,11.465,10.086,      ,13.475, 7.790,      ,      , 0.038,LW11, ,0,0
 17,006.03469167,-72.08076667,11.503,10.163,15.911,13.493, 7.898,      ,      , 0.034,    , ,0,0
 18,006.00691250,-72.08238889,11.461,10.179,      ,13.474, 7.965,      ,      , 0.032,    , ,0,0
 19,006.00600000,-72.08996944,11.518,10.299,15.766,13.548, 8.067,      ,      , 0.029,    , ,0,0
 20,006.04209167,-72.08168611,11.348,10.228,      ,13.460, 8.089,      ,      , 0.029,    , ,0,0
 21,005.99916667,-72.09126944,11.511,10.277,15.845,      , 8.140,      ,      , 0.027,    , ,0,0
 22,006.05709167,-72.08125278,11.621,10.497,15.760,13.552, 8.224,      ,      , 0.025,LW16,?,0,0
 23,006.01279167,-72.08196667,11.511,10.337,15.621,13.479, 8.243,      ,      , 0.025,    , ,0,0
 24,006.00649167,-72.07952222,11.483,10.348,      ,13.493, 8.274, 9.358, 8.395, 0.024,    , ,0,0
 25,006.02124167,-72.08179167,11.540,10.419,15.643,13.431, 8.359, 9.342, 8.418, 0.022,    , ,0,0
 26,006.07743750,-72.07876667,11.655,10.435,15.795,13.645, 8.367,      ,      , 0.022,    , ,0,0
 27,006.01575417,-72.07908333,11.740,10.608,      ,13.627, 8.446, 9.441, 8.510, 0.021,    , ,0,0
 28,006.03135000,-72.09172500,11.844,10.740,15.598,13.700, 8.522,      ,      , 0.019,    , ,0,0
 29,006.03265833,-72.08903611,11.834,10.712,15.777,13.756, 8.549,      ,      , 0.019,    , ,0,0
 30,006.01141250,-72.08412778,11.774,10.664,      ,13.648, 8.549,      ,      , 0.019,    , ,0,0
