MAIN_ID,RA,DEC,PMRA,PMDEC,MAG_USE,PMRA_err,PMDEC_err,RA_err,DEC_err
A,5 35 15.2934  ,  -5 23 23.1241 ,0,0,15.326,0.0,0.0,0.0,0.0
B,5 35 15.3534  ,  -5 23 24.0418 ,0,0,16.102,0.0,0.0,0.0,0.0
C,5 35 15.5336  ,  -5 23 15.6412 ,0,0,16.035,0.0,0.0,0.0,0.0
D,5 35 15.5517  ,  -5 23 29.5216 ,0,0,16.859,0.0,0.0,0.0,0.0
E,5 35 15.594   ,  -5 22 58.832  ,0,0,14.702,0.0,0.0,0.0,0.0
F,5 35 15.6306  ,  -5 22 56.385  ,0,0,10.676,0.0,0.0,0.0,0.0
G,5 35 15.7255  ,  -5 23 22.4347 ,0,0,11.743,0.0,0.0,0.0,0.0
H,5 35 15.7673  ,  -5 23 9.82764 ,0,0,9.3918,0.0,0.0,0.0,0.0
I,5 35 15.7879  ,  -5 23 26.5168 ,0,0,12.641,0.0,0.0,0.0,0.0
J,5 35 15.8018  ,  -5 23 11.8906 ,0,0,14.409,0.0,0.0,0.0,0.0
K,5 35 15.8202  ,  -5 23 14.2891 ,0,0,8.862,0.0,0.0,0.0,0.0
L,5 35 15.8217  ,  -5 23 14.0972 ,0,0,10.322,0.0,0.0,0.0,0.0
M,5 35 15.8337  ,  -5 23 22.4207 ,0,0,11.521,0.0,0.0,0.0,0.0
N,5 35 15.8408  ,  -5 23 25.5078 ,0,0,13.268,0.0,0.0,0.0,0.0
O,5 35 15.863   ,  -5 23 10.7606 ,0,0,14.411,0.0,0.0,0.0,0.0
P,5 35 15.8739  ,  -5 23 1.89992 ,0,0,12.637,0.0,0.0,0.0,0.0
Q,5 35 15.9654  ,  -5 23 22.6589 ,0,0,16.199,0.0,0.0,0.0,0.0
R,5 35 16.0635  ,  -5 23 24.2937 ,0,0,15.907,0.0,0.0,0.0,0.0
S,5 35 16.064  ,  -5 23 7.05258 ,0,0,12.067,0.0,0.0,0.0,0.0
T,5 35 16.069  ,  -5 23 6.96452 ,0,0,10.025,0.0,0.0,0.0,0.0
U,5 35 16.0715  ,  -5 23 27.7444 ,0,0,15.928,0.0,0.0,0.0,0.0
V,5 35 16.0717  ,  -5 22 54.2677 ,0,0,14.591,0.0,0.0,0.0,0.0
W,5 35 16.0795  ,  -5 22 54.036 ,0,0,14.215,0.0,0.0,0.0,0.0
X,5 35 16.0928  ,  -5 23 23.0106 ,0,0,16.379,0.0,0.0,0.0,0.0
Y,5 35 16.0942  ,  -5 23 6.41047 ,0,0,13.552,0.0,0.0,0.0,0.0
Z,5 35 16.1006  ,  -5 23 14.1407 ,0,0,13.95,0.0,0.0,0.0,0.0
AB,5 35 16.1299  ,  -5 23 6.71895 ,0,0,8.787,0.0,0.0,0.0,0.0
AC,5 35 16.1396  ,  -5 22 55.249 ,0,0,14.945,0.0,0.0,0.0,0.0
AD,5 35 16.2263  ,  -5 23 19.0612 ,0,0,15.072,0.0,0.0,0.0,0.0
AE,5 35 16.283   ,  -5 23 16.512 ,0,0,12.199,0.0,0.0,0.0,0.0
AF,5 35 16.3206  ,  -5 23 22.5317 ,0,0,15.185,0.0,0.0,0.0,0.0
AG,5 35 16.3241  ,  -5 23 25.2679 ,0,0,15.709,0.0,0.0,0.0,0.0
AH,5 35 16.3997  ,  -5 23 11.2870 ,0,0,17.12,0.0,0.0,0.0,0.0
AI,5 35 16.4602  ,  -5 23 22.8832 ,0,0,8.000,0.0,0.0,0.0,0.0
AK,5 35 16.6148  ,  -5 23 16.0836 ,0,0,12.762,0.0,0.0,0.0,0.0
AL,5 35 16.6529  ,  -5 23 28.8309 ,0,0,14.928,0.0,0.0,0.0,0.0
AM,5 35 16.7236  ,  -5 23 25.1688 ,0,0,11.705,0.0,0.0,0.0,0.0
AN,5 35 16.7469  ,  -5 23 16.3777 ,0,0,11.721,0.0,0.0,0.0,0.0
AO,5 35 16.7621  ,  -5 23 28.0209 ,0,0,13.838,0.0,0.0,0.0,0.0
AP,5 35 16.8258  ,  -5 23 25.9032 ,0,0,16.951,0.0,0.0,0.0,0.0
AQ,5 35 16.8409  ,  -5 23 26.2297 ,0,0,15.656,0.0,0.0,0.0,0.0
AR,5 35 16.8633  ,  -5 23 7.03118 ,0,0,15.402,0.0,0.0,0.0,0.0
AS,5 35 17.0595  ,  -5 23 33.9787 ,0,0,11.02,0.0,0.0,0.0,0.0
AT,5 35 17.1675  ,  -5 23 17.0013 ,0,0,NaN,0.0,0.0,0.0,0.0
AU,5 35 17.2558  ,  -5 23 16.5298 ,0,0,NaN,0.0,0.0,0.0,0.0
